Groep;Species;Soort;Lijst;GBIF_code
dier;Ondatra zibethicus Linnaeus, 1766;muskusrat;2;5219858
dier;Orconectes limosus Rafinesque, 1817;gevlekte rivierkreeft;1;2227000
dier;Faxonius limosus Rafinesque, 1817;gevlekte rivierkreeft;1;8909595
dier;Orconectes virilis Hagen, 1870;geknobbelde Amerikaanse rivierkreeft;1;2227064
dier;Faxonius virilis Hagen, 1870;geknobbelde Amerikaanse rivierkreeft;1;8971201
dier;Oxyura jamaicensis Gmelin, 1789;rosse stekelstaart;1;2498305
dier;Pacifastacus leniusculus Dana, 1852;Californische rivierkreeft;1;2226990
dier;Perccottus glenii Dybowski, 1877;amoergrondel;1;2390064
dier;Plotosus lineatus (Thunberg, 1787);gestreepte koraalmeerval;3;7965247
dier;Procambarus clarkii Girard, 1852;rode rivierkreeft;1;2227300
dier;Procambarus fallax (Hagen, 1870) f. virginalis;marmerkreeft;1;8879526
dier;Procambarus virginalis Lyko, 2017;marmerkreeft;1;9442269
dier;Procyon lotor L., 1758;wasbeer;1;5218786
dier;Pseudorasbora parva Temminck & Schlegel, 1846;blauwbandgrondel;1;2362868
dier;Sciurus carolinensis Gmelin, 1788;grijze eekhoorn;1;5219681
dier;Sciurus niger L., 1758;Amerikaanse voseekhoorn;1;5219683
dier;Tamias sibiricus Laxmann, 1769;Siberische grondeekhoorn;1;2437450
dier;Threskiornis aethiopicus Latham, 1790;heilige ibis;1;2480764
dier;Trachemys scripta Schoepff, 1792;lettersierschildpad ;1;2443002
dier;Vespa velutina nigrithorax de Buysson, 1905;Aziatische hoornaar;1;6247411
dier;Ameiurus melas (Rafinesque, 1820);zwarte dwergmeerval;4;2340977
dier;Axis axis (Erxleben, 1777);axishert;4;2440934
dier;Callosciurus finlaysonii (Horsfield, 1823);Thailandeekhoorn;4;2437399
plant;Celastrus orbiculatus Thunb.;Aziatische boomwurger;4;3169169
dier;Channa argus (Cantor, 1842);noordelijke slangekopvis;4;4284921
dier;Faxonius rusticus (Girard, 1852);roestbruine Amerikaanse rivierkreeft;4;8979506
dier;Fundulus heteroclitus (Linnaeus, 1766);Fundulus heteroclitus;4;5712056
dier;Gambusia affinis (Baird & Girard, 1853);Gambusia affinis;4;2350580
dier;Gambusia holbrooki Girard, 1859;Gambusia holbrooki;4;2350570
plant;Hakea sericea Schrad. & J.C.Wendl.;hakea;4;7287606
plant;Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal;Afghaanse duizendknoop;4;8848208
dier;Lampropeltis getula (Linnaeus, 1766);gewone koningsslang;4;9799308
dier;Limnoperna fortunei (Dunker, 1857);Limnoperna fortunei;4;5855350
dier;Morone americana (Gmelin, 1789);Morone americana;4;2394604
plant;Pistia stratiotes L.;watersla;4;2870583
dier;Pycnonotus cafer (Linnaeus, 1766);Pycnonotus cafer;4;2486131
plant;Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009;stomp gaffelwier;4;5824863
dier;Solenopsis geminata (Fabricius, 1804);Solenopsis geminata;4;5035187
dier;Solenopsis invicta Buren, 1972;Solenopsis invicta;4;5035230
dier;Solenopsis richteri Forel, 1909;Solenopsis richteri;4;5035017
dier;Wasmannia auropunctata (Roger, 1863);Wasmannia auropunctata;4;1315391
dier;Xenopus laevis (Daudin, 1802);Afrikaanse klauwkikker;4;5217334
plant;Ambrosia artemisiifolia L.;alsemambrosia;ANB;8002952
plant;Crassula helmsii (Kirk) Cockayne;watercrassula;ANB;5362054
plant;Reynoutria japonica Houtt.;'invasieve duizendknopen';ANB;2889173
plant;Fallopia japonica (Houtt.) Ronse Decr.;'invasieve duizendknopen';ANB;5334357
plant;Reynoutria sachalinensis (F.Schmidt) Nakai;'invasieve duizendknopen';ANB;2889088
plant;Fallopia sachalinensis (F.Schmidt) Ronse Decr.;'invasieve duizendknopen';ANB;5334293
plant;Reynoutria ×bohemica Chrtek & Chrtková;'invasieve duizendknopen';ANB;4038485
plant;Fallopia ×bohemica (Chrtek & Chrtková) J.P.Bailey;'invasieve duizendknopen';ANB;5652296
dier;Aedes albopictus (Skuse, 1894);Aziatische tijgermug;ANB;1651430
dier;Branta canadensis (Linnaeus, 1758);Canadese gans;ANB;5232437
dier;Mustela vison Schreber, 1777;Amerikaanse nerts;ANB;5218823
dier;Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874);Noord-Aziatische modderkruiper;ANB;2367911
